,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600009.SH,20191018,80.21,80.95,79.03,79.31,80.43,-1.12,-1.3925,142133.16,1134613.91
1,600009.SH,20191017,78.8,80.85,78.3,80.43,78.25,2.18,2.7859,165985.06,1326707.412
2,600009.SH,20191016,78.0,78.8,77.72,78.25,78.28,-0.03,-0.0383,89358.77,699566.948
3,600009.SH,20191015,78.9,79.1,76.9,78.28,79.23,-0.95,-1.199,113939.59,889160.816
4,600009.SH,20191014,80.99,81.39,78.96,79.23,80.26,-1.03,-1.2833,153112.66,1217286.595
5,600009.SH,20191011,80.54,81.25,80.12,80.26,80.48,-0.22,-0.2734,87563.37,705184.45
6,600009.SH,20191010,78.88,80.8,78.47,80.48,78.13,2.35,3.0078,133521.24,1068827.865
7,600009.SH,20191009,77.99,78.75,77.01,78.13,77.78,0.35,0.45,123352.18,961646.887
8,600009.SH,20191008,79.61,79.61,77.18,77.78,79.78,-2.0,-2.5069,165974.79,1293747.963
9,600009.SH,20190930,80.0,80.95,79.1,79.78,79.93,-0.15,-0.1877,60310.62,483149.3
10,600009.SH,20190927,80.35,80.8,78.98,79.93,80.35,-0.42,-0.5227,60663.5,483137.624
11,600009.SH,20190926,81.4,81.68,80.18,80.35,80.68,-0.33,-0.409,67508.31,547535.609
12,600009.SH,20190925,80.0,81.83,79.58,80.68,79.89,0.79,0.9889,132965.02,1076506.484
13,600009.SH,20190924,80.7,80.7,79.68,79.89,80.65,-0.76,-0.9423,103082.57,824975.097
14,600009.SH,20190923,81.5,81.57,79.28,80.65,81.26,-0.61,-0.7507,105315.79,843600.8
15,600009.SH,20190920,82.2,83.15,81.26,81.26,81.92,-0.66,-0.8057,154840.39,1270635.57
16,600009.SH,20190919,83.32,83.42,81.55,81.92,82.77,-0.85,-1.0269,102209.0,839156.094
17,600009.SH,20190918,82.1,83.26,82.1,82.77,82.04,0.73,0.8898,110675.9,916170.611
18,600009.SH,20190917,82.7,83.27,81.3,82.04,82.8,-0.76,-0.9179,81088.21,667572.425
19,600009.SH,20190916,83.61,83.61,82.53,82.8,83.16,-0.36,-0.4329,60308.1,500375.376
20,600009.SH,20190912,82.0,83.39,82.0,83.16,82.2,0.96,1.1679,61909.64,512754.953
21,600009.SH,20190911,84.51,84.6,82.0,82.2,84.4,-2.2,-2.6066,144636.64,1197273.102
22,600009.SH,20190910,84.75,84.75,84.02,84.4,85.02,-0.62,-0.7292,49397.49,416614.548
23,600009.SH,20190909,86.5,86.81,84.62,85.02,86.0,-0.98,-1.1395,103613.22,881078.968
24,600009.SH,20190906,84.88,86.0,84.5,86.0,84.4,1.6,1.8957,82061.9,700640.805
25,600009.SH,20190905,84.9,86.22,84.21,84.4,83.95,0.45,0.536,128648.68,1097962.289
26,600009.SH,20190904,83.85,84.13,83.0,83.95,83.98,-0.03,-0.0357,78772.37,656909.49
27,600009.SH,20190903,84.9,85.31,83.35,83.98,85.26,-1.28,-1.5013,106290.46,892154.207
28,600009.SH,20190902,84.4,85.32,84.0,85.26,84.05,1.21,1.4396,74074.06,627986.406
29,600009.SH,20190830,85.0,85.67,83.73,84.05,84.56,-0.51,-0.6031,99441.76,840499.756
30,600009.SH,20190829,85.42,85.6,83.9,84.56,85.61,-1.05,-1.2265,77719.95,658196.032
31,600009.SH,20190828,87.46,87.46,84.48,85.61,87.5,-1.89,-2.16,114330.12,976239.702
32,600009.SH,20190827,87.68,88.9,87.5,87.5,86.84,0.66,0.76,66932.75,589989.493
33,600009.SH,20190826,86.08,87.44,85.69,86.84,87.19,-0.35,-0.4014,50902.97,441234.912
34,600009.SH,20190823,85.81,87.8,85.6,87.19,85.75,1.44,1.6793,64393.29,559810.673
35,600009.SH,20190822,84.44,86.68,83.68,85.75,84.34,1.41,1.6718,65069.32,555802.567
36,600009.SH,20190821,84.0,85.01,82.91,85.0,83.96,1.04,1.2387,51278.17,433179.38
37,600009.SH,20190820,85.85,86.0,83.5,83.96,84.86,-0.9,-1.0606,60114.03,505595.166
38,600009.SH,20190819,85.51,86.27,83.71,84.86,84.84,0.02,0.0236,78178.48,661717.273
39,600009.SH,20190816,82.4,85.26,82.32,84.84,82.07,2.77,3.3752,89637.9,756296.623
40,600009.SH,20190815,80.19,82.49,79.55,82.07,81.5,0.57,0.6994,55286.72,450830.915
41,600009.SH,20190814,81.37,82.27,81.18,81.5,80.78,0.72,0.8913,59259.17,483825.717
42,600009.SH,20190813,81.0,81.5,80.38,80.78,81.37,-0.59,-0.7251,50144.13,406004.759
43,600009.SH,20190812,80.0,81.38,80.0,81.37,80.15,1.22,1.5221,50065.62,404969.864
44,600009.SH,20190809,81.47,81.59,79.9,80.15,80.75,-0.6,-0.743,48763.29,392420.94
45,600009.SH,20190808,79.39,81.88,79.39,80.75,79.01,1.74,2.2023,82327.09,666594.95
46,600009.SH,20190807,79.65,80.6,79.01,79.01,78.95,0.06,0.076,60245.61,479763.698
47,600009.SH,20190806,77.18,79.7,76.36,78.95,79.36,-0.41,-0.5166,122266.99,950148.583
48,600009.SH,20190805,81.45,82.28,79.3,79.36,81.9,-2.54,-3.1013,94278.97,759903.047
49,600009.SH,20190802,80.7,82.48,80.32,81.9,82.01,-0.11,-0.1341,56008.29,457611.878
50,600009.SH,20190801,82.78,83.46,81.6,82.01,82.78,-0.77,-0.9302,72583.66,598025.435
51,600009.SH,20190731,83.84,84.2,82.35,82.78,84.26,-1.48,-1.7565,76636.78,637283.116
52,600009.SH,20190730,84.98,85.48,84.08,84.26,84.98,-0.72,-0.8473,62312.84,528404.372
53,600009.SH,20190729,85.05,85.68,84.41,84.98,85.05,-0.07,-0.0823,45810.2,389915.329
54,600009.SH,20190726,84.1,85.56,83.51,85.05,84.0,1.05,1.25,60929.05,517028.417
55,600009.SH,20190725,81.5,84.08,81.28,84.0,81.69,2.31,2.8278,76704.16,635873.3
56,600009.SH,20190724,81.88,82.46,81.32,81.69,81.98,-0.29,-0.3537,53888.67,441601.249
57,600009.SH,20190723,82.0,82.95,81.06,81.98,82.06,-0.08,-0.0975,67589.61,553271.78
58,600009.SH,20190722,81.64,82.55,80.5,82.06,81.51,0.55,0.6748,54146.44,443941.016
59,600009.SH,20190719,81.79,82.82,81.3,81.51,81.01,0.5,0.6172,54819.3,448868.304
60,600009.SH,20190718,80.54,81.97,80.2,81.01,80.53,0.48,0.5961,60129.08,488863.324
61,600009.SH,20190717,79.59,80.98,79.0,80.53,79.6,0.93,1.1683,76249.81,612537.744
62,600009.SH,20190716,80.85,81.18,78.9,79.6,81.0,-1.4,-1.7284,121103.25,964140.357
