,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300384.SZ,20191018,19.6,19.76,18.11,18.24,19.53,-1.29,-6.6052,220138.55,418157.847
1,300384.SZ,20191017,18.8,19.75,18.52,19.53,18.78,0.75,3.9936,159544.19,307044.774
2,300384.SZ,20191016,18.61,19.08,18.37,18.78,18.58,0.2,1.0764,100108.67,187390.202
3,300384.SZ,20191015,18.6,18.97,18.31,18.58,18.54,0.04,0.2157,122370.79,227915.945
4,300384.SZ,20191014,17.7,18.73,17.66,18.54,17.7,0.84,4.7458,161409.26,294522.414
5,300384.SZ,20191011,17.41,17.77,17.04,17.7,17.41,0.29,1.6657,88731.64,154086.987
6,300384.SZ,20191010,17.32,17.58,17.19,17.41,17.32,0.09,0.5196,61442.23,106819.176
7,300384.SZ,20191009,17.04,17.35,16.85,17.32,17.1,0.22,1.2865,44738.81,76873.609
8,300384.SZ,20191008,17.05,17.27,16.91,17.1,17.04,0.06,0.3521,38427.48,65741.127
9,300384.SZ,20190930,17.46,17.46,16.97,17.04,17.36,-0.32,-1.8433,49508.14,84856.277
10,300384.SZ,20190927,17.4,17.69,17.29,17.36,17.22,0.14,0.813,65311.33,114024.501
11,300384.SZ,20190926,18.13,18.3,17.1,17.22,18.07,-0.85,-4.7039,119233.77,210460.543
12,300384.SZ,20190925,18.88,18.88,17.76,18.07,19.02,-0.95,-4.9947,124796.42,226868.679
13,300384.SZ,20190924,19.27,19.55,19.02,19.02,19.28,-0.26,-1.3485,85073.49,163952.527
14,300384.SZ,20190923,19.2,19.39,18.95,19.28,19.2,0.08,0.4167,73799.78,141402.383
15,300384.SZ,20190920,19.7,19.74,19.1,19.2,19.71,-0.51,-2.5875,95958.39,185935.677
16,300384.SZ,20190919,20.0,20.02,19.2,19.71,19.9,-0.19,-0.9548,122448.85,240055.06
17,300384.SZ,20190918,21.21,21.29,19.68,19.9,21.11,-1.21,-5.7319,181699.41,366693.419
18,300384.SZ,20190917,23.08,23.88,21.11,21.11,23.45,-2.34,-9.9787,206835.22,462224.614
19,300384.SZ,20190916,23.0,23.88,22.35,23.45,23.41,0.04,0.1709,130635.0,301466.61
20,300384.SZ,20190912,23.48,24.19,22.57,23.41,23.15,0.26,1.1231,171116.06,401812.81
21,300384.SZ,20190911,24.99,25.0,22.94,23.15,25.49,-2.34,-9.1801,205847.07,491574.422
22,300384.SZ,20190910,25.66,25.66,22.32,25.49,23.33,2.16,9.2585,397861.32,980538.536
23,300384.SZ,20190909,23.33,23.33,23.33,23.33,21.21,2.12,9.9953,22411.49,52286.006
24,300384.SZ,20190906,20.08,21.21,20.05,21.21,19.28,1.93,10.0104,47560.4,100334.566
25,300384.SZ,20190905,18.91,19.61,18.91,19.28,18.72,0.56,2.9915,72247.13,139786.535
26,300384.SZ,20190904,18.71,18.85,18.5,18.72,18.71,0.01,0.0534,25844.96,48194.058
27,300384.SZ,20190903,18.45,19.2,18.15,18.71,18.5,0.21,1.1351,53274.02,99393.59
28,300384.SZ,20190902,17.7,18.52,17.5,18.5,17.8,0.7,3.9326,55481.65,101053.003
29,300384.SZ,20190830,17.91,18.19,17.73,17.8,18.0,-0.2,-1.1111,34106.14,61222.0
30,300384.SZ,20190829,17.71,18.34,17.61,18.0,17.76,0.24,1.3514,34287.44,61684.389
31,300384.SZ,20190828,17.69,17.87,17.5,17.76,17.71,0.05,0.2823,28982.96,51264.409
32,300384.SZ,20190827,17.54,17.89,17.42,17.71,17.54,0.17,0.9692,36412.56,64398.206
33,300384.SZ,20190826,16.98,17.68,16.86,17.54,17.34,0.2,1.1534,51913.3,90007.962
34,300384.SZ,20190823,16.15,17.69,16.02,17.34,16.18,1.16,7.1693,59543.31,99552.857
35,300384.SZ,20190822,16.34,16.34,16.04,16.18,16.27,-0.09,-0.5532,15192.08,24494.474
36,300384.SZ,20190821,16.22,16.46,16.15,16.27,16.22,0.05,0.3083,15774.3,25654.62
37,300384.SZ,20190820,16.32,16.65,16.13,16.22,16.32,-0.1,-0.6127,28404.89,46486.87
38,300384.SZ,20190819,15.88,16.4,15.61,16.32,15.72,0.6,3.8168,32800.67,52851.08
39,300384.SZ,20190816,15.53,15.77,15.46,15.72,15.53,0.19,1.2234,22359.07,34984.633
40,300384.SZ,20190815,15.0,15.56,14.9,15.53,15.38,0.15,0.9753,19965.1,30538.565
41,300384.SZ,20190814,15.63,15.63,15.31,15.38,15.36,0.02,0.1302,19635.12,30263.258
42,300384.SZ,20190813,15.38,15.38,15.02,15.36,15.37,-0.01,-0.0651,16285.93,24720.785
43,300384.SZ,20190812,15.31,15.4,15.1,15.37,15.33,0.04,0.2609,20438.27,31181.797
44,300384.SZ,20190809,15.7,15.79,15.18,15.33,15.51,-0.18,-1.1605,16045.64,24829.107
45,300384.SZ,20190808,15.22,15.6,15.17,15.51,15.06,0.45,2.988,21425.63,33070.578
46,300384.SZ,20190807,15.37,15.57,15.0,15.06,15.36,-0.3,-1.9531,16217.18,24805.681
47,300384.SZ,20190806,15.5,15.51,14.9,15.36,15.83,-0.47,-2.969,27886.23,42382.556
48,300384.SZ,20190805,15.7,16.15,15.66,15.83,15.77,0.06,0.3805,19298.48,30814.007
49,300384.SZ,20190802,15.8,15.86,15.46,15.77,16.11,-0.34,-2.1105,20333.93,31935.637
50,300384.SZ,20190801,16.48,16.48,16.02,16.11,16.46,-0.35,-2.1264,24732.71,39906.644
51,300384.SZ,20190731,16.4,16.62,15.96,16.46,16.41,0.05,0.3047,41729.62,68182.229
52,300384.SZ,20190730,16.15,16.46,16.15,16.41,16.13,0.28,1.7359,23949.95,39127.189
53,300384.SZ,20190729,16.33,16.44,16.05,16.13,16.44,-0.31,-1.8856,15741.04,25520.863
54,300384.SZ,20190726,16.27,16.68,16.19,16.44,16.27,0.17,1.0449,29559.34,48573.081
55,300384.SZ,20190725,16.36,16.36,16.02,16.27,16.36,-0.09,-0.5501,21591.19,35000.633
56,300384.SZ,20190724,16.08,16.55,15.93,16.36,16.06,0.3,1.868,30883.4,50566.275
57,300384.SZ,20190723,15.81,16.1,15.72,16.06,15.89,0.17,1.0699,22160.69,35211.883
58,300384.SZ,20190722,16.42,16.48,15.61,15.89,16.39,-0.5,-3.0506,32334.48,51405.018
59,300384.SZ,20190719,16.34,16.63,16.25,16.39,16.46,-0.07,-0.4253,24538.59,40290.423
60,300384.SZ,20190718,16.96,16.96,16.26,16.46,16.96,-0.5,-2.9481,36063.17,59382.018
61,300384.SZ,20190717,17.1,17.44,16.76,16.96,17.23,-0.27,-1.567,47249.83,80519.982
62,300384.SZ,20190716,17.6,17.6,17.07,17.23,17.63,-0.4,-2.2689,28453.72,49110.479
63,300384.SZ,20190715,17.48,17.88,16.94,17.63,17.46,0.17,0.9737,48860.78,84487.511
64,300384.SZ,20190712,17.84,17.84,17.34,17.46,17.75,-0.29,-1.6338,24243.08,42448.837
65,300384.SZ,20190711,17.89,18.38,17.43,17.75,17.77,-0.02,-0.1125,38210.93,68307.81
66,300384.SZ,20190710,18.3,18.38,17.5,17.77,18.3,-0.53,-2.8962,40419.89,72021.51
67,300384.SZ,20190709,18.17,18.76,18.11,18.3,18.2,0.1,0.5495,25926.8,47602.651
68,300384.SZ,20190708,19.2,19.2,18.12,18.2,19.0,-0.8,-4.2105,28639.05,53119.145
69,300384.SZ,20190705,19.3,19.42,18.31,19.0,18.92,0.08,0.4228,37192.53,70241.584
70,300384.SZ,20190704,18.94,19.42,18.71,18.92,18.67,0.25,1.339,55883.3,106609.051
71,300384.SZ,20190703,19.76,19.9,18.67,18.67,19.45,-0.78,-4.0103,63079.09,121968.103
72,300384.SZ,20190702,19.65,19.9,19.21,19.45,19.84,-0.39,-1.9657,50533.9,98371.789
73,300384.SZ,20190701,19.1,19.86,18.79,19.84,18.68,1.16,6.2099,64293.79,124355.596
74,300384.SZ,20190628,18.8,18.82,18.22,18.68,18.76,-0.08,-0.4264,36228.1,67029.191
75,300384.SZ,20190627,18.25,19.02,18.24,18.8,18.44,0.36,1.9523,53777.35,100847.85
76,300384.SZ,20190626,18.47,19.08,18.31,18.44,18.36,0.08,0.4357,49102.26,91356.432
77,300384.SZ,20190625,19.2,19.2,18.03,18.36,19.3,-0.94,-4.8705,71010.3,130836.658
78,300384.SZ,20190624,20.07,20.07,18.98,19.3,20.2,-0.9,-4.4554,93171.5,180309.273
79,300384.SZ,20190621,18.51,20.39,18.41,20.2,18.73,1.47,7.8484,146147.58,285822.707
80,300384.SZ,20190620,18.51,19.17,18.18,18.73,18.1,0.63,3.4807,116454.01,217799.596
81,300384.SZ,20190619,17.95,18.69,17.25,18.1,16.99,1.11,6.5333,113521.65,205308.61
82,300384.SZ,20190618,17.33,17.45,16.8,16.99,17.15,-0.16,-0.9329,42781.29,72881.095
83,300384.SZ,20190617,17.6,17.6,16.88,17.15,17.02,0.13,0.7638,41453.02,71425.645
84,300384.SZ,20190614,17.7,17.7,16.95,17.02,17.31,-0.29,-1.6753,64917.59,112341.684
85,300384.SZ,20190613,16.29,17.77,16.24,17.31,16.3,1.01,6.1963,93377.59,158358.288
86,300384.SZ,20190612,15.77,16.6,15.71,16.3,15.97,0.33,2.0664,82814.27,134182.59
87,300384.SZ,20190611,14.8,15.97,14.65,15.97,14.52,1.45,9.9862,90548.91,142579.802
88,300384.SZ,20190610,14.34,14.66,14.3,14.52,14.27,0.25,1.7519,16564.32,23998.124
89,300384.SZ,20190606,14.73,14.91,14.03,14.27,14.73,-0.46,-3.1229,26642.29,38703.906
90,300384.SZ,20190605,15.15,15.24,14.6,14.73,15.07,-0.34,-2.2561,23155.06,34252.575
91,300384.SZ,20190604,15.04,15.36,14.0,15.07,15.14,-0.07,-0.4624,22726.72,34101.832
92,300384.SZ,20190603,15.6,15.93,15.09,15.14,15.7,-0.56,-3.5669,18226.48,28046.753
93,300384.SZ,20190531,15.55,15.85,15.5,15.7,15.63,0.07,0.4479,15473.51,24290.746
94,300384.SZ,20190530,15.66,15.71,15.43,15.63,15.69,-0.06,-0.3824,17905.76,27824.221
95,300384.SZ,20190529,15.85,15.99,15.66,15.69,15.85,-0.16,-1.0095,19608.8,31037.365
96,300384.SZ,20190528,16.54,16.54,15.73,15.85,15.72,0.13,0.827,30521.61,48728.629
97,300384.SZ,20190527,15.27,15.72,15.07,15.72,15.27,0.45,2.947,21854.06,33906.952
98,300384.SZ,20190524,15.15,15.5,15.15,15.27,15.31,-0.04,-0.2613,13801.94,21168.631
