,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300343.SZ,20191018,3.22,3.24,3.13,3.17,3.24,-0.07,-2.1605,234303.31,74517.909
1,300343.SZ,20191017,3.14,3.29,3.13,3.24,3.16,0.08,2.5316,348614.34,112850.957
2,300343.SZ,20191016,3.23,3.27,3.14,3.16,3.22,-0.06,-1.8634,194729.02,62350.371
3,300343.SZ,20191015,3.22,3.26,3.19,3.22,3.23,-0.01,-0.3096,254603.43,82140.94
4,300343.SZ,20191014,3.22,3.27,3.21,3.23,3.2,0.03,0.9375,313063.69,101279.859
5,300343.SZ,20191011,3.17,3.24,3.12,3.2,3.17,0.03,0.9464,269853.09,85872.588
6,300343.SZ,20191010,3.1,3.17,3.09,3.17,3.11,0.06,1.9293,240265.76,75214.023
7,300343.SZ,20191009,3.06,3.11,3.04,3.11,3.05,0.06,1.9672,167787.66,51720.243
8,300343.SZ,20191008,3.07,3.12,3.05,3.05,3.09,-0.04,-1.2945,187614.38,57907.726
9,300343.SZ,20190930,3.15,3.2,3.08,3.09,3.19,-0.1,-3.1348,323471.27,100768.904
10,300343.SZ,20190927,3.06,3.38,3.06,3.19,3.07,0.12,3.9088,560739.11,181619.696
11,300343.SZ,20190926,3.22,3.25,3.07,3.07,3.21,-0.14,-4.3614,302480.95,94416.838
12,300343.SZ,20190925,3.3,3.32,3.21,3.21,3.32,-0.11,-3.3133,241685.75,78473.422
13,300343.SZ,20190924,3.36,3.39,3.31,3.32,3.35,-0.03,-0.8955,247300.6,82781.443
14,300343.SZ,20190923,3.44,3.45,3.3,3.35,3.43,-0.08,-2.3324,265601.41,88840.011
15,300343.SZ,20190920,3.38,3.5,3.37,3.43,3.39,0.04,1.1799,381416.07,131219.449
16,300343.SZ,20190919,3.4,3.41,3.31,3.39,3.39,0.0,0.0,250165.22,84193.48
17,300343.SZ,20190918,3.36,3.42,3.36,3.39,3.38,0.01,0.2959,277496.85,94140.405
18,300343.SZ,20190917,3.5,3.5,3.32,3.38,3.52,-0.14,-3.9773,417822.8,141843.865
19,300343.SZ,20190916,3.49,3.55,3.46,3.52,3.47,0.05,1.4409,401113.36,140575.046
20,300343.SZ,20190912,3.47,3.53,3.44,3.47,3.44,0.03,0.8721,307713.69,106957.869
21,300343.SZ,20190911,3.53,3.53,3.44,3.44,3.51,-0.07,-1.9943,283896.69,98976.231
22,300343.SZ,20190910,3.52,3.55,3.45,3.51,3.51,0.0,0.0,365944.92,127699.859
23,300343.SZ,20190909,3.43,3.53,3.41,3.51,3.4,0.11,3.2353,515383.31,178612.708
24,300343.SZ,20190906,3.41,3.43,3.36,3.4,3.38,0.02,0.5917,303781.99,103257.681
25,300343.SZ,20190905,3.36,3.47,3.35,3.38,3.37,0.01,0.2967,480337.21,163924.985
26,300343.SZ,20190904,3.35,3.39,3.32,3.37,3.36,0.01,0.2976,306717.7,102794.083
27,300343.SZ,20190903,3.35,3.37,3.3,3.36,3.34,0.02,0.5988,346611.86,115682.052
28,300343.SZ,20190902,3.19,3.41,3.19,3.34,3.21,0.13,4.0498,460538.99,152271.704
29,300343.SZ,20190830,3.33,3.35,3.18,3.21,3.31,-0.1,-3.0211,316974.7,103474.691
30,300343.SZ,20190829,3.33,3.38,3.3,3.31,3.3,0.01,0.303,409309.01,136554.118
31,300343.SZ,20190828,3.37,3.4,3.28,3.3,3.4,-0.1,-2.9412,514655.23,170599.632
32,300343.SZ,20190827,3.19,3.48,3.18,3.4,3.16,0.24,7.5949,774373.25,260344.255
33,300343.SZ,20190826,3.12,3.18,3.11,3.16,3.23,-0.07,-2.1672,228502.07,71913.795
34,300343.SZ,20190823,3.26,3.3,3.22,3.23,3.27,-0.04,-1.2232,166552.15,54168.092
35,300343.SZ,20190822,3.29,3.31,3.23,3.27,3.28,-0.01,-0.3049,183908.4,59959.25
36,300343.SZ,20190821,3.28,3.33,3.25,3.28,3.27,0.01,0.3058,267365.7,87714.683
37,300343.SZ,20190820,3.28,3.35,3.24,3.27,3.28,-0.01,-0.3049,369818.89,122024.253
38,300343.SZ,20190819,3.15,3.35,3.13,3.28,3.13,0.15,4.7923,378398.61,121827.952
39,300343.SZ,20190816,3.13,3.17,3.11,3.13,3.15,-0.02,-0.6349,197253.33,61778.709
40,300343.SZ,20190815,3.04,3.17,2.99,3.15,3.15,0.0,0.0,278379.15,85439.766
41,300343.SZ,20190814,3.21,3.24,3.14,3.15,3.19,-0.04,-1.2539,223479.81,71176.95
42,300343.SZ,20190813,3.12,3.24,3.1,3.19,3.16,0.03,0.9494,249158.43,79090.799
43,300343.SZ,20190812,3.16,3.17,3.09,3.16,3.1,0.06,1.9355,221845.78,69426.315
44,300343.SZ,20190809,3.26,3.29,3.08,3.1,3.24,-0.14,-4.321,391315.92,124039.819
45,300343.SZ,20190808,3.26,3.32,3.23,3.24,3.31,-0.07,-2.1148,404281.46,131957.078
46,300343.SZ,20190807,3.35,3.45,3.3,3.31,3.48,-0.17,-4.8851,711326.91,239431.763
47,300343.SZ,20190806,3.75,3.91,3.48,3.48,3.61,-0.13,-3.6011,1230667.39,454436.967
48,300343.SZ,20190805,3.61,3.61,3.61,3.61,3.28,0.33,10.061,119256.17,43051.477
49,300343.SZ,20190802,3.4,3.43,3.26,3.28,3.47,-0.19,-5.4755,356511.36,118357.842
50,300343.SZ,20190801,3.43,3.5,3.37,3.47,3.45,0.02,0.5797,215532.93,73925.411
51,300343.SZ,20190731,3.53,3.53,3.43,3.45,3.54,-0.09,-2.5424,176419.02,61407.645
52,300343.SZ,20190730,3.53,3.58,3.52,3.54,3.53,0.01,0.2833,113210.64,40214.753
