,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002185.SZ,20191021,5.13,5.21,5.01,5.2,5.15,0.05,0.9709,381294.04,195899.563
1,002185.SZ,20191018,5.21,5.27,5.09,5.15,5.19,-0.04,-0.7707,442456.72,229113.051
2,002185.SZ,20191017,5.25,5.3,5.14,5.19,5.26,-0.07,-1.3308,504096.01,262951.179
3,002185.SZ,20191016,5.46,5.5,5.21,5.26,5.44,-0.18,-3.3088,735395.85,391993.229
4,002185.SZ,20191015,5.71,5.71,5.41,5.44,5.81,-0.37,-6.3683,1070536.43,590982.292
5,002185.SZ,20191014,5.61,5.82,5.57,5.81,5.54,0.27,4.8736,827347.9,472527.471
6,002185.SZ,20191011,5.67,5.67,5.48,5.54,5.65,-0.11,-1.9469,464244.54,257943.046
7,002185.SZ,20191010,5.55,5.68,5.51,5.65,5.56,0.09,1.6187,439078.09,245414.319
8,002185.SZ,20191009,5.45,5.59,5.35,5.56,5.5,0.06,1.0909,401453.7,221890.678
9,002185.SZ,20191008,5.49,5.63,5.46,5.5,5.45,0.05,0.9174,419881.42,232826.22
10,002185.SZ,20190930,5.64,5.65,5.45,5.45,5.64,-0.19,-3.3688,467918.05,258378.858
11,002185.SZ,20190927,5.6,5.68,5.55,5.64,5.57,0.07,1.2567,552924.73,310701.741
12,002185.SZ,20190926,5.91,5.94,5.54,5.57,5.9,-0.33,-5.5932,983831.51,560812.479
13,002185.SZ,20190925,6.25,6.26,5.89,5.9,6.33,-0.43,-6.793,1444995.89,873223.222
14,002185.SZ,20190924,6.21,6.46,6.13,6.33,6.2,0.13,2.0968,1591157.49,1002412.823
15,002185.SZ,20190923,6.07,6.25,5.98,6.2,6.08,0.12,1.9737,1230994.04,754306.959
16,002185.SZ,20190920,6.02,6.16,5.98,6.08,6.05,0.03,0.4959,952988.96,577370.749
17,002185.SZ,20190919,5.97,6.09,5.83,6.05,5.87,0.18,3.0664,911778.41,546813.021
18,002185.SZ,20190918,5.94,5.97,5.76,5.87,5.91,-0.04,-0.6768,725707.54,425533.362
19,002185.SZ,20190917,6.14,6.15,5.85,5.91,6.17,-0.26,-4.2139,1021815.83,609752.593
20,002185.SZ,20190916,6.14,6.27,6.08,6.17,6.11,0.06,0.982,825553.76,511363.007
21,002185.SZ,20190912,6.19,6.21,6.08,6.11,6.13,-0.02,-0.3263,666639.37,409888.749
22,002185.SZ,20190911,6.3,6.35,6.12,6.13,6.25,-0.12,-1.92,812157.6,503985.065
23,002185.SZ,20190910,6.36,6.39,6.15,6.25,6.36,-0.11,-1.7296,1217306.89,759959.622
24,002185.SZ,20190909,6.12,6.39,6.05,6.36,6.0,0.36,6.0,1588504.71,990164.89
25,002185.SZ,20190906,5.98,6.12,5.9,6.0,5.92,0.08,1.3514,1186217.83,712892.804
26,002185.SZ,20190905,6.04,6.17,5.89,5.92,5.99,-0.07,-1.1686,1638888.87,985017.093
27,002185.SZ,20190904,5.77,6.18,5.72,5.99,5.77,0.22,3.8128,2101811.63,1248185.773
28,002185.SZ,20190903,5.51,5.8,5.48,5.77,5.5,0.27,4.9091,1775700.19,1002322.217
29,002185.SZ,20190902,5.35,5.51,5.25,5.5,5.3,0.2,3.7736,1043441.13,560882.284
30,002185.SZ,20190830,5.5,5.64,5.27,5.3,5.5,-0.2,-3.6364,1085368.45,592259.786
31,002185.SZ,20190829,5.31,5.6,5.25,5.5,5.33,0.17,3.1895,1340952.87,738105.092
32,002185.SZ,20190828,5.3,5.42,5.22,5.33,5.31,0.02,0.3766,711982.78,379898.687
33,002185.SZ,20190827,5.27,5.37,5.23,5.31,5.22,0.09,1.7241,679584.83,360454.578
34,002185.SZ,20190826,5.08,5.32,5.05,5.22,5.21,0.01,0.1919,799548.35,418164.503
35,002185.SZ,20190823,5.35,5.43,5.12,5.21,5.39,-0.18,-3.3395,1241488.07,649334.615
36,002185.SZ,20190822,5.63,5.64,5.34,5.39,5.67,-0.28,-4.9383,1426219.53,778908.329
37,002185.SZ,20190821,5.74,5.77,5.5,5.67,5.77,-0.1,-1.7331,1102632.23,620389.436
38,002185.SZ,20190820,5.75,5.81,5.65,5.77,5.79,-0.02,-0.3454,1046173.83,600250.167
39,002185.SZ,20190819,5.61,5.83,5.47,5.79,5.57,0.22,3.9497,1425359.38,810341.523
40,002185.SZ,20190816,5.62,5.67,5.48,5.57,5.63,-0.06,-1.0657,1073353.98,598022.111
41,002185.SZ,20190815,5.31,5.68,5.26,5.63,5.49,0.14,2.5501,1310384.74,720502.232
42,002185.SZ,20190814,5.79,5.89,5.44,5.49,5.67,-0.18,-3.1746,1712248.12,971484.941
43,002185.SZ,20190813,5.6,5.7,5.53,5.67,5.68,-0.01,-0.1761,1063352.96,597307.773
44,002185.SZ,20190812,5.44,5.75,5.39,5.68,5.37,0.31,5.7728,1580001.92,879008.618
45,002185.SZ,20190809,5.55,5.58,5.3,5.37,5.48,-0.11,-2.0073,1372565.2,746672.609
46,002185.SZ,20190808,5.11,5.59,5.1,5.48,5.09,0.39,7.6621,1860165.59,998524.49
47,002185.SZ,20190807,5.34,5.37,5.06,5.09,5.28,-0.19,-3.5985,786687.16,406887.064
48,002185.SZ,20190806,5.23,5.35,5.03,5.28,5.41,-0.13,-2.403,1191268.43,621374.694
49,002185.SZ,20190805,5.32,5.55,5.3,5.41,5.39,0.02,0.3711,1060141.25,575612.678
50,002185.SZ,20190802,5.33,5.47,5.22,5.39,5.5,-0.11,-2.0,1339790.37,716337.799
51,002185.SZ,20190801,5.28,5.54,5.22,5.5,5.34,0.16,2.9963,1477551.09,802441.842
52,002185.SZ,20190731,5.42,5.64,5.31,5.34,5.36,-0.02,-0.3731,1703486.48,935373.695
53,002185.SZ,20190730,5.38,5.48,5.31,5.36,5.43,-0.07,-1.2891,1055897.93,568866.178
54,002185.SZ,20190729,5.24,5.47,5.24,5.43,5.18,0.25,4.8263,1865652.97,1002049.13
55,002185.SZ,20190726,5.18,5.25,5.09,5.18,5.17,0.01,0.1934,997712.27,514363.326
56,002185.SZ,20190725,5.16,5.33,5.1,5.17,5.2,-0.03,-0.5769,1839852.3,958454.442
57,002185.SZ,20190724,4.92,5.27,4.91,5.2,4.9,0.3,6.1224,2596390.93,1331596.793
58,002185.SZ,20190723,4.65,4.97,4.65,4.9,4.68,0.22,4.7009,1516040.4,735087.496
59,002185.SZ,20190722,4.62,4.75,4.41,4.68,4.68,0.0,0.0,1089836.61,502766.53
60,002185.SZ,20190719,4.73,4.84,4.66,4.68,4.81,-0.13,-2.7027,648858.5,308056.23
61,002185.SZ,20190718,4.65,4.87,4.61,4.81,4.69,0.12,2.5586,1190442.14,567571.883
62,002185.SZ,20190717,4.42,4.87,4.4,4.69,4.43,0.26,5.8691,1388800.74,653419.425
63,002185.SZ,20190716,4.45,4.49,4.4,4.43,4.47,-0.04,-0.8949,270163.81,120117.286
64,002185.SZ,20190715,4.35,4.49,4.26,4.47,4.37,0.1,2.2883,350347.23,154013.002
65,002185.SZ,20190712,4.45,4.51,4.36,4.37,4.46,-0.09,-2.0179,361280.69,159891.656
66,002185.SZ,20190711,4.38,4.56,4.31,4.46,4.57,-0.11,-2.407,513237.67,228997.944
67,002185.SZ,20190702,5.22,5.23,5.02,5.1,5.26,-0.16,-3.0418,1282817.66,654766.509
68,002185.SZ,20190701,5.2,5.31,5.05,5.26,5.09,0.17,3.3399,1464408.76,761624.308
69,002185.SZ,20190628,5.37,5.39,4.93,5.09,5.48,-0.39,-7.1168,1623839.15,833397.009
70,002185.SZ,20190627,5.33,5.56,5.29,5.48,5.32,0.16,3.0075,1245251.16,681622.667
71,002185.SZ,20190626,5.17,5.42,5.14,5.32,5.2,0.12,2.3077,970726.66,515431.462
72,002185.SZ,20190625,5.28,5.29,5.14,5.2,5.33,-0.13,-2.439,552460.83,287148.794
73,002185.SZ,20190624,5.2,5.37,5.15,5.33,5.22,0.11,2.1073,893410.72,469850.551
74,002185.SZ,20190621,5.25,5.34,5.17,5.22,5.22,0.0,0.0,708647.54,372508.403
75,002185.SZ,20190620,5.18,5.28,5.11,5.22,5.21,0.01,0.1919,663397.9,345099.172
76,002185.SZ,20190619,5.24,5.38,5.18,5.21,5.11,0.1,1.9569,757133.85,398618.374
77,002185.SZ,20190618,5.17,5.19,5.09,5.11,5.18,-0.07,-1.3514,351130.66,180171.157
78,002185.SZ,20190617,5.24,5.28,5.11,5.18,5.26,-0.08,-1.5209,528656.22,274495.213
79,002185.SZ,20190614,5.54,5.57,5.23,5.26,5.54,-0.28,-5.0542,966521.29,518800.661
80,002185.SZ,20190613,5.6,5.65,5.48,5.54,5.64,-0.1,-1.773,971306.03,539764.769
81,002185.SZ,20190612,5.39,5.75,5.37,5.64,5.47,0.17,3.1079,1628560.81,901628.463
82,002185.SZ,20190611,5.3,5.49,5.15,5.47,5.29,0.18,3.4026,1250317.96,668822.374
83,002185.SZ,20190610,5.26,5.38,5.21,5.29,5.23,0.06,1.1472,833145.12,441349.179
84,002185.SZ,20190606,5.46,5.49,5.19,5.23,5.52,-0.29,-5.2536,1133468.41,603054.399
85,002185.SZ,20190605,5.56,5.75,5.51,5.52,5.48,0.04,0.7299,991164.15,554885.835
86,002185.SZ,20190604,5.67,5.79,5.39,5.48,5.71,-0.23,-4.028,1203332.3,671932.486
87,002185.SZ,20190603,5.89,5.89,5.6,5.71,5.82,-0.11,-1.89,1500730.22,860851.068
88,002185.SZ,20190531,5.54,5.93,5.51,5.82,5.58,0.24,4.3011,2263655.53,1303742.76
89,002185.SZ,20190530,5.6,5.64,5.41,5.6,5.74,-0.14,-2.439,1531009.96,846925.85
90,002185.SZ,20190529,5.43,5.89,5.41,5.74,5.47,0.27,4.936,2603141.29,1474642.705
91,002185.SZ,20190528,5.53,5.62,5.39,5.47,5.6,-0.13,-2.3214,1823344.69,1001704.575
92,002185.SZ,20190527,5.05,5.71,5.05,5.6,5.21,0.39,7.4856,2026858.88,1116864.737
93,002185.SZ,20190524,5.59,5.64,5.19,5.21,5.77,-0.56,-9.7054,1702123.07,912490.953
94,002185.SZ,20190523,5.75,6.0,5.49,5.77,5.78,-0.01,-0.173,2494109.31,1433434.738
95,002185.SZ,20190522,5.44,5.85,5.44,5.78,5.66,0.12,2.1201,2335387.32,1320437.401
96,002185.SZ,20190521,5.7,5.87,5.31,5.66,5.6,0.06,1.0714,3061156.14,1711758.452
97,002185.SZ,20190520,5.6,5.6,5.6,5.6,5.09,0.51,10.0196,391869.13,219446.712
98,002185.SZ,20190517,4.7,5.09,4.63,5.09,4.63,0.46,9.9352,1247719.52,616490.811
99,002185.SZ,20190516,4.6,4.71,4.56,4.63,4.61,0.02,0.4338,311083.18,143950.649
100,002185.SZ,20190515,4.6,4.64,4.55,4.61,4.55,0.06,1.3187,297430.16,136874.559
101,002185.SZ,20190514,4.59,4.67,4.51,4.55,4.68,-0.13,-2.7778,406580.79,186858.576
102,002185.SZ,20190513,4.7,4.79,4.64,4.68,4.8,-0.12,-2.5,307100.78,144780.401
103,002185.SZ,20190510,4.58,4.83,4.44,4.8,4.54,0.26,5.7269,571650.26,268204.945
104,002185.SZ,20190509,4.48,4.67,4.45,4.54,4.49,0.05,1.1136,407930.32,187058.714
105,002185.SZ,20190508,4.35,4.64,4.28,4.49,4.42,0.07,1.5837,494227.1,222882.435
106,002185.SZ,20190507,4.41,4.48,4.32,4.42,4.38,0.04,0.9132,340810.9,150195.263
107,002185.SZ,20190506,4.75,4.75,4.38,4.38,4.87,-0.49,-10.0616,490602.75,221644.004
108,002185.SZ,20190430,4.81,4.95,4.8,4.87,4.83,0.04,0.8282,268093.26,130877.63
109,002185.SZ,20190429,5.2,5.23,4.78,4.83,5.2,-0.37,-7.1154,531447.35,263137.046
110,002185.SZ,20190426,5.19,5.34,5.17,5.2,5.19,0.01,0.1927,323756.78,170297.371
111,002185.SZ,20190425,5.53,5.53,5.18,5.19,5.54,-0.35,-6.3177,490215.01,262061.859
112,002185.SZ,20190424,5.39,5.62,5.35,5.54,5.38,0.16,2.974,416203.98,228119.723
113,002185.SZ,20190423,5.61,5.62,5.38,5.38,5.63,-0.25,-4.4405,516258.36,283404.832
114,002185.SZ,20190422,5.65,5.73,5.6,5.63,5.65,-0.02,-0.354,412451.9,233509.197
115,002185.SZ,20190419,5.66,5.71,5.56,5.65,5.69,-0.04,-0.703,337119.66,189877.376
116,002185.SZ,20190418,5.63,5.74,5.59,5.69,5.66,0.03,0.53,477382.17,270856.929
117,002185.SZ,20190417,5.66,5.79,5.63,5.66,5.66,0.0,0.0,551341.6,314677.191
118,002185.SZ,20190416,5.51,5.68,5.42,5.66,5.54,0.12,2.1661,547366.3,304661.074
119,002185.SZ,20190415,5.65,5.75,5.53,5.54,5.58,-0.04,-0.7168,405963.86,229824.13
120,002185.SZ,20190412,5.54,5.62,5.52,5.58,5.52,0.06,1.087,315211.31,175558.457
121,002185.SZ,20190411,5.66,5.69,5.52,5.52,5.66,-0.14,-2.4735,463613.02,260089.863
122,002185.SZ,20190410,5.75,5.76,5.63,5.66,5.79,-0.13,-2.2453,622211.52,353441.011
123,002185.SZ,20190409,5.76,5.84,5.69,5.79,5.76,0.03,0.5208,406876.83,234842.704
124,002185.SZ,20190408,6.0,6.03,5.7,5.76,5.99,-0.23,-3.8397,832930.4,486423.068
125,002185.SZ,20190404,6.13,6.16,5.97,5.99,6.11,-0.12,-1.964,766918.38,463063.964
126,002185.SZ,20190403,6.09,6.13,6.01,6.11,6.18,-0.07,-1.1327,900960.21,547381.251
127,002185.SZ,20190402,6.03,6.28,5.91,6.18,5.99,0.19,3.172,1810760.09,1103911.811
128,002185.SZ,20190401,5.83,6.04,5.79,5.99,5.92,0.07,1.1824,1708159.14,1013978.92
