,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300360.SZ,20191018,9.39,9.47,9.2,9.31,9.38,-0.07,-0.7463,32673.5,30625.259
1,300360.SZ,20191017,9.37,9.59,9.26,9.38,9.37,0.01,0.1067,42346.56,39899.338
2,300360.SZ,20191016,9.25,9.5,9.25,9.37,9.22,0.15,1.6269,52673.68,49425.144
3,300360.SZ,20191015,9.28,9.56,9.06,9.22,9.18,0.04,0.4357,80673.14,75387.413
4,300360.SZ,20191014,8.65,9.4,8.59,9.18,8.59,0.59,6.8685,64509.12,57422.549
5,300360.SZ,20191011,8.76,8.81,8.39,8.59,8.8,-0.21,-2.3864,34281.0,29281.081
6,300360.SZ,20191010,8.68,8.81,8.61,8.8,8.67,0.13,1.4994,17639.0,15397.329
7,300360.SZ,20191009,8.76,8.76,8.44,8.67,8.77,-0.1,-1.1403,24661.94,21126.484
8,300360.SZ,20191008,8.76,8.88,8.71,8.77,8.74,0.03,0.3432,15335.5,13493.006
9,300360.SZ,20190930,8.94,9.02,8.74,8.74,8.95,-0.21,-2.3464,26185.81,23118.798
10,300360.SZ,20190927,9.07,9.09,8.81,8.95,9.05,-0.1,-1.105,50790.76,45411.871
11,300360.SZ,20190926,9.3,9.52,8.85,9.05,9.42,-0.37,-3.9278,66505.96,60874.514
12,300360.SZ,20190925,9.37,9.88,9.16,9.42,9.52,-0.1,-1.0504,112773.44,107760.646
13,300360.SZ,20190924,9.13,9.57,9.05,9.52,9.12,0.4,4.386,100357.83,93667.32
14,300360.SZ,20190923,9.09,9.13,8.87,9.12,9.15,-0.03,-0.3279,36263.5,32682.581
15,300360.SZ,20190920,8.79,9.23,8.77,9.15,8.78,0.37,4.2141,82944.26,75194.274
16,300360.SZ,20190919,8.59,8.78,8.54,8.78,8.57,0.21,2.4504,17310.46,14993.771
17,300360.SZ,20190918,8.68,8.68,8.45,8.57,8.59,-0.02,-0.2328,15048.0,12913.302
18,300360.SZ,20190917,8.75,9.06,8.5,8.59,8.8,-0.21,-2.3864,45954.55,40391.713
19,300360.SZ,20190916,8.83,8.87,8.72,8.8,8.81,-0.01,-0.1135,24529.22,21533.873
20,300360.SZ,20190912,8.6,8.83,8.55,8.81,8.58,0.23,2.6807,40752.69,35662.93
21,300360.SZ,20190911,8.62,8.71,8.51,8.58,8.61,-0.03,-0.3484,26055.0,22400.601
22,300360.SZ,20190910,8.82,8.88,8.5,8.61,8.67,-0.06,-0.692,41589.18,36064.356
23,300360.SZ,20190909,8.45,8.69,8.41,8.67,8.33,0.34,4.0816,43991.15,37673.039
24,300360.SZ,20190906,8.16,8.39,8.16,8.33,8.14,0.19,2.3342,35738.84,29690.619
25,300360.SZ,20190905,8.1,8.3,8.08,8.14,8.06,0.08,0.9926,39662.12,32463.612
26,300360.SZ,20190904,8.1,8.21,8.0,8.06,8.1,-0.04,-0.4938,25305.92,20459.716
27,300360.SZ,20190903,7.93,8.1,7.93,8.1,7.99,0.11,1.3767,32118.5,25816.785
28,300360.SZ,20190902,7.79,8.04,7.72,7.99,7.85,0.14,1.7834,29934.79,23669.109
29,300360.SZ,20190830,7.78,8.13,7.65,7.85,7.79,0.06,0.7702,48989.21,38730.975
30,300360.SZ,20190829,7.77,7.81,7.72,7.79,7.72,0.07,0.9067,9852.59,7658.409
31,300360.SZ,20190828,7.74,7.77,7.68,7.72,7.76,-0.04,-0.5155,8896.88,6870.813
32,300360.SZ,20190827,7.61,7.81,7.6,7.76,7.54,0.22,2.9178,22280.0,17239.672
33,300360.SZ,20190826,7.54,7.63,7.45,7.54,7.69,-0.15,-1.9506,10388.5,7840.978
34,300360.SZ,20190823,7.66,7.71,7.61,7.69,7.71,-0.02,-0.2594,11121.43,8527.792
35,300360.SZ,20190822,7.78,7.81,7.6,7.71,7.78,-0.07,-0.8997,21717.66,16666.675
36,300360.SZ,20190821,7.83,7.83,7.73,7.78,7.77,0.01,0.1287,9419.29,7332.821
37,300360.SZ,20190820,7.73,7.86,7.73,7.77,7.76,0.01,0.1289,11209.59,8742.446
38,300360.SZ,20190819,7.6,7.79,7.56,7.76,7.54,0.22,2.9178,22036.44,16923.047
39,300360.SZ,20190816,7.47,7.6,7.43,7.54,7.48,0.06,0.8021,12947.13,9774.419
40,300360.SZ,20190815,7.27,7.52,7.27,7.48,7.46,0.02,0.2681,14373.2,10602.321
41,300360.SZ,20190814,7.52,7.56,7.46,7.46,7.42,0.04,0.5391,9642.05,7237.064
42,300360.SZ,20190813,7.44,7.49,7.39,7.42,7.49,-0.07,-0.9346,8653.0,6436.125
43,300360.SZ,20190812,7.35,7.52,7.32,7.49,7.35,0.14,1.9048,11334.58,8420.643
44,300360.SZ,20190809,7.37,7.42,7.31,7.35,7.36,-0.01,-0.1359,8258.9,6075.46
45,300360.SZ,20190808,7.35,7.47,7.35,7.36,7.34,0.02,0.2725,9116.08,6739.801
46,300360.SZ,20190807,7.46,7.53,7.33,7.34,7.45,-0.11,-1.4765,14041.0,10399.748
47,300360.SZ,20190806,7.6,7.6,7.23,7.45,7.63,-0.18,-2.3591,33520.28,24897.215
48,300360.SZ,20190805,7.73,7.76,7.62,7.63,7.74,-0.11,-1.4212,11228.0,8623.194
49,300360.SZ,20190802,7.74,7.77,7.61,7.74,7.75,-0.01,-0.129,15623.3,12008.66
50,300360.SZ,20190801,7.74,7.84,7.71,7.75,7.79,-0.04,-0.5135,10430.0,8109.351
51,300360.SZ,20190731,7.93,7.93,7.76,7.79,7.97,-0.18,-2.2585,15184.77,11867.713
52,300360.SZ,20190730,7.85,7.97,7.81,7.97,7.85,0.12,1.5287,19809.09,15691.799
