,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300463.SZ,20191021,26.66,26.74,25.31,25.55,26.66,-1.11,-4.1635,50388.09,129854.477
1,300463.SZ,20191018,26.8,27.36,26.55,26.66,26.79,-0.13,-0.4853,31894.27,85863.95
2,300463.SZ,20191017,26.74,27.0,25.9,26.79,26.75,0.04,0.1495,32961.05,87347.56
3,300463.SZ,20191016,27.11,27.4,26.35,26.75,27.0,-0.25,-0.9259,39027.13,104963.792
4,300463.SZ,20191015,26.9,27.4,26.52,27.0,27.05,-0.05,-0.1848,31378.59,85116.471
5,300463.SZ,20191014,27.21,27.53,26.71,27.05,26.97,0.08,0.2966,47650.26,129153.205
6,300463.SZ,20191011,27.4,28.16,26.65,26.97,27.4,-0.43,-1.5693,60567.63,165482.11
7,300463.SZ,20191010,25.9,27.55,25.45,27.4,25.9,1.5,5.7915,62598.58,168959.791
8,300463.SZ,20191009,26.85,26.95,25.35,25.9,27.05,-1.15,-4.2514,45701.14,118545.396
9,300463.SZ,20191008,25.38,27.36,25.3,27.05,25.52,1.53,5.9953,56342.75,151198.088
10,300463.SZ,20190930,25.98,26.5,25.52,25.52,25.75,-0.23,-0.8932,18861.01,48856.254
11,300463.SZ,20190927,25.8,26.43,25.5,25.75,25.84,-0.09,-0.3483,26987.44,69793.641
12,300463.SZ,20190926,26.49,26.68,25.32,25.84,26.43,-0.59,-2.2323,35711.08,92908.956
13,300463.SZ,20190925,26.75,26.98,26.32,26.43,26.83,-0.4,-1.4909,29934.99,79766.355
14,300463.SZ,20190924,26.58,27.0,26.38,26.83,26.35,0.48,1.8216,32359.53,86770.642
15,300463.SZ,20190923,26.54,26.54,26.01,26.35,26.32,0.03,0.114,20722.6,54552.384
16,300463.SZ,20190920,26.26,26.69,25.93,26.32,26.09,0.23,0.8816,50760.68,134332.041
17,300463.SZ,20190919,26.3,26.37,25.46,26.09,26.05,0.04,0.1536,44921.07,116974.444
18,300463.SZ,20190918,25.8,26.1,25.71,26.05,25.84,0.21,0.8127,28967.0,75129.894
19,300463.SZ,20190917,26.2,26.42,25.41,25.84,26.01,-0.17,-0.6536,44396.96,114976.028
20,300463.SZ,20190916,25.03,26.02,24.8,26.01,24.85,1.16,4.668,63196.7,162482.712
21,300463.SZ,20190912,24.52,24.95,24.15,24.85,24.39,0.46,1.886,49007.3,121167.452
22,300463.SZ,20190911,23.78,24.83,23.78,24.39,23.78,0.61,2.5652,64827.01,158547.675
23,300463.SZ,20190910,22.8,23.98,22.43,23.78,22.87,0.91,3.979,79147.5,184542.338
24,300463.SZ,20190909,22.41,22.95,21.89,22.87,22.26,0.61,2.7403,53968.23,121045.05
25,300463.SZ,20190906,22.4,22.75,22.11,22.26,22.4,-0.14,-0.625,31976.45,71576.266
26,300463.SZ,20190905,22.28,22.56,22.13,22.4,22.18,0.22,0.9919,30291.07,67797.697
27,300463.SZ,20190904,22.23,22.31,21.71,22.18,22.23,-0.05,-0.2249,27225.01,59979.544
28,300463.SZ,20190903,22.57,22.68,22.08,22.23,22.38,-0.15,-0.6702,33258.8,74112.832
29,300463.SZ,20190902,21.53,22.56,21.53,22.38,21.59,0.79,3.6591,43098.31,95613.384
30,300463.SZ,20190830,21.8,21.96,21.37,21.59,21.63,-0.04,-0.1849,48830.56,105834.368
31,300463.SZ,20190829,22.03,22.35,21.48,21.63,22.09,-0.46,-2.0824,40018.5,87155.806
32,300463.SZ,20190828,22.77,22.78,21.97,22.09,22.77,-0.68,-2.9864,36623.92,81423.095
33,300463.SZ,20190827,23.37,23.37,22.61,22.77,23.26,-0.49,-2.1066,48399.45,110398.771
34,300463.SZ,20190826,22.72,23.5,22.72,23.26,23.36,-0.1,-0.4281,25674.3,59548.948
35,300463.SZ,20190823,22.21,23.74,21.9,23.36,23.14,0.22,0.9507,93343.29,213693.463
36,300463.SZ,20190822,23.58,23.61,22.92,23.14,23.58,-0.44,-1.866,34482.6,79893.754
37,300463.SZ,20190821,23.77,23.88,23.39,23.58,24.0,-0.42,-1.75,20746.0,48849.318
38,300463.SZ,20190820,23.93,24.18,23.51,24.0,23.9,0.1,0.4184,36431.43,86761.544
39,300463.SZ,20190819,23.32,24.09,23.26,23.9,23.28,0.62,2.6632,33243.3,78980.789
40,300463.SZ,20190816,23.46,23.64,23.18,23.28,23.5,-0.22,-0.9362,20417.0,47623.713
41,300463.SZ,20190815,23.01,23.6,22.77,23.5,23.45,0.05,0.2132,21654.0,50434.863
42,300463.SZ,20190814,23.4,23.82,23.1,23.45,22.82,0.63,2.7607,28167.67,66270.371
43,300463.SZ,20190813,23.2,23.38,22.74,22.82,23.36,-0.54,-2.3116,14301.0,32888.391
44,300463.SZ,20190812,22.99,23.39,22.58,23.36,22.78,0.58,2.5461,18384.01,42503.587
45,300463.SZ,20190809,23.28,23.4,22.56,22.78,23.01,-0.23,-0.9996,17590.5,40380.065
46,300463.SZ,20190808,22.32,23.34,22.32,23.01,22.64,0.37,1.6343,32895.0,75541.327
47,300463.SZ,20190807,21.78,22.91,21.78,22.64,21.8,0.84,3.8532,32643.8,73424.631
48,300463.SZ,20190806,21.9,22.23,20.71,21.8,21.9,-0.1,-0.4566,30687.59,66642.042
49,300463.SZ,20190805,22.96,23.32,21.84,21.9,23.15,-1.25,-5.3996,42941.6,95766.508
50,300463.SZ,20190802,23.38,23.55,22.3,23.15,23.65,-0.5,-2.1142,38025.06,87908.579
51,300463.SZ,20190801,22.88,24.3,22.4,23.65,22.71,0.94,4.1391,65238.13,153599.65
52,300463.SZ,20190731,24.52,24.52,22.36,22.71,24.8,-2.09,-8.4274,83010.6,192270.782
53,300463.SZ,20190730,24.39,24.99,24.12,24.8,24.19,0.61,2.5217,21253.76,52257.138
54,300463.SZ,20190729,24.31,24.67,24.09,24.19,24.57,-0.38,-1.5466,15088.57,36657.799
55,300463.SZ,20190726,24.2,24.9,24.15,24.57,24.33,0.24,0.9864,16879.33,41387.722
56,300463.SZ,20190725,24.33,24.53,24.03,24.33,24.61,-0.28,-1.1377,16872.17,40980.831
57,300463.SZ,20190724,24.62,24.73,24.24,24.61,24.49,0.12,0.49,14404.67,35265.248
58,300463.SZ,20190723,24.15,24.79,24.12,24.49,24.58,-0.09,-0.3662,15683.67,38362.701
59,300463.SZ,20190722,24.32,24.94,23.1,24.58,24.1,0.48,1.9917,31422.76,75707.222
60,300463.SZ,20190719,23.99,24.5,23.71,24.1,23.88,0.22,0.9213,16512.17,39809.236
61,300463.SZ,20190718,24.48,24.86,23.88,23.88,24.71,-0.83,-3.359,20321.0,49092.891
62,300463.SZ,20190717,24.97,25.34,24.61,24.71,24.79,-0.08,-0.3227,13408.26,33412.815
63,300463.SZ,20190716,25.55,25.58,24.55,24.79,25.39,-0.6,-2.3631,19036.04,47735.536
64,300463.SZ,20190715,24.77,25.76,24.32,25.39,24.94,0.45,1.8043,28322.77,71647.642
65,300463.SZ,20190712,24.97,25.1,24.52,24.94,24.76,0.18,0.727,13599.76,33855.662
66,300463.SZ,20190711,24.77,25.22,24.39,24.76,24.88,-0.12,-0.4823,18003.43,44683.259
67,300463.SZ,20190710,24.96,25.44,24.68,24.88,24.88,0.0,0.0,14785.54,36920.788
68,300463.SZ,20190709,24.98,25.37,24.76,24.88,25.27,-0.39,-1.5433,17976.43,44984.714
69,300463.SZ,20190708,25.43,25.47,24.58,25.27,25.38,-0.11,-0.4334,21800.18,54474.292
70,300463.SZ,20190705,25.42,25.69,25.05,25.38,25.18,0.2,0.7943,16137.71,41087.66
71,300463.SZ,20190704,25.81,25.98,24.81,25.18,25.9,-0.72,-2.7799,26697.48,67176.13
72,300463.SZ,20190703,26.22,26.22,25.51,25.9,26.3,-0.4,-1.5209,21532.11,55557.861
73,300463.SZ,20190702,25.98,26.48,25.37,26.3,25.81,0.49,1.8985,34440.52,89707.162
74,300463.SZ,20190701,25.52,26.45,25.52,25.97,25.13,0.84,3.3426,25716.63,66918.29
75,300463.SZ,20190628,25.68,25.85,24.95,25.13,25.86,-0.73,-2.8229,33307.57,83954.579
76,300463.SZ,20190627,24.99,26.1,24.82,25.86,24.99,0.87,3.4814,36621.44,93695.651
77,300463.SZ,20190626,25.15,25.6,24.78,24.99,24.82,0.17,0.6849,29719.51,74745.767
78,300463.SZ,20190625,25.28,25.34,24.71,24.82,25.29,-0.47,-1.8584,27379.95,68378.689
79,300463.SZ,20190624,26.0,26.05,24.99,25.29,26.0,-0.71,-2.7308,50101.5,127562.089
80,300463.SZ,20190621,25.0,26.46,24.82,26.0,24.69,1.31,5.3058,56824.31,146459.725
81,300463.SZ,20190620,24.3,24.95,24.08,24.69,24.38,0.31,1.2715,35412.51,87242.939
82,300463.SZ,20190619,24.15,24.93,24.1,24.38,23.96,0.42,1.7529,37329.51,91125.071
83,300463.SZ,20190618,23.5,23.98,23.22,23.96,23.38,0.58,2.4808,24506.15,58148.196
84,300463.SZ,20190617,23.32,23.75,23.03,23.38,23.55,-0.17,-0.7219,20346.86,47761.937
85,300463.SZ,20190614,23.4,23.95,23.33,23.55,23.45,0.1,0.4264,27101.6,64242.522
86,300463.SZ,20190613,23.5,23.67,23.02,23.45,23.5,-0.05,-0.2128,16044.62,37432.165
87,300463.SZ,20190612,23.04,23.65,22.91,23.5,23.13,0.37,1.5997,33394.39,78097.306
88,300463.SZ,20190611,22.65,23.2,22.3,23.13,22.65,0.48,2.1192,26626.97,60959.25
89,300463.SZ,20190610,22.22,22.98,22.08,22.65,22.28,0.37,1.6607,10271.11,23224.729
90,300463.SZ,20190606,22.63,22.83,22.13,22.28,22.4,-0.12,-0.5357,10833.0,24417.504
91,300463.SZ,20190605,22.61,22.76,21.97,22.4,22.38,0.02,0.0894,18426.38,41187.659
92,300463.SZ,20190604,23.05,23.11,22.33,22.38,23.0,-0.62,-2.6957,17998.0,40777.544
93,300463.SZ,20190603,22.69,23.05,22.27,23.0,22.69,0.31,1.3662,26444.0,60101.904
94,300463.SZ,20190531,22.58,22.71,21.81,22.69,22.12,0.57,2.5769,22000.25,49285.644
95,300463.SZ,20190530,22.31,22.76,22.12,22.12,22.51,-0.39,-1.7326,26057.33,58352.158
96,300463.SZ,20190529,22.6,22.85,22.09,22.51,22.68,-0.17,-0.7496,26090.98,58409.632
97,300463.SZ,20190528,22.9,23.99,22.68,22.68,23.13,-0.45,-1.9455,43463.61,101458.151
98,300463.SZ,20190527,22.8,23.25,22.09,23.13,23.2,-0.07,-0.3017,52123.71,118663.121
99,300463.SZ,20190524,22.22,23.2,21.9,23.2,22.44,0.76,3.3868,64169.31,146297.203
100,300463.SZ,20190523,22.22,23.05,21.51,22.44,22.45,-0.01,-0.0445,55810.42,125758.689
101,300463.SZ,20190522,21.7,23.06,21.6,22.45,21.76,0.69,3.171,51298.92,115945.623
102,300463.SZ,20190521,21.99,22.24,21.41,21.76,21.8,-0.04,-0.1835,22630.94,49410.505
103,300463.SZ,20190520,21.65,22.35,21.36,21.8,22.06,-0.26,-1.1786,44809.89,98621.724
104,300463.SZ,20190517,22.0,22.5,21.6,22.06,21.98,0.08,0.364,65192.77,143718.631
